NO,KABUPATEN,OBJEK / DESTINASI WISATA,FASILITAS UMUM,FASILITAS PENUNJANG,ALAMAT,WAKTU OPERASIONAL,RATING BPODT
23.0,TAPANULI UTARA,Air Terjun Batu Manarus,,,"Lobutalpe, Hutabarat, kecamatan Pahae Julu","senin - minggu
 07.00 - 17.00",hidden gem
24.0,TAPANULI UTARA,Huta Ginjang,"parkir
 toilet
 gazebo / saung
 mushala","warung makanan dan minuman
 panggung hiburan","Desa Dolok Martumbur, Kecamatan Muara","senin - minggu
 07.00 - 18.00",
25.0,DAIRI,"Taman Wisata Alam Sicike-Cike
 (Danau Dan Air Terjun Sicike-Cike)","parkir
 toilet
 mushala
 gazebo","warung makan
 area piknik","Desa Lae Hole, Kecamatan Parbuluan","senin - minggu
 09.00 - 17.00",
26.0,DAIRI,Panatapan Puncak Sidiangkat,"toilet umum
 parkir
 ATM
 wifi area","cafetaria
 homestay
 mini garden
 Balai Pertemuan","Jalan Subulussalam- Sidikalang, Kecamatan Sidikalang","senin - minggu
 08.00 - 18.00",
27.0,DAIRI,Bukit Siattaratas,"parkir
 toilet","warung makanan dan minuman
 persewaan perlengkapan camping
 camping area","Desa Paropo, Kecamatan Silahisabungan","senin-minggu
 06.00 - 17.00",
28.0,DAIRI,Paropo,"parkir
 toilet
 spot wifi","Balai Pertemuan
 cafetaria
 penginapan
 area perkemahan","Desa Paropo, Kecamatan Silahisabungan",07.00 - 17.00,
29.0,KARO,Bukit Gundaling,"parkir
 mushala
 toilet
 gazebo","cafetaria
 penginapan
 souvenir shop","Jl. Letjen Jamin Ginting, Gundaling I, Berastagi","senin-minggu
 06.00 - 18.00",
30.0,KARO,Air Terjun Sipiso-Piso,"parkir
 toilet
 gazebo
 Gereja Katolik","souvenir shop
 warung makan","Desa Tongging, Kecamatan Merak","senin-minggu
 08.00 - 17.00",
31.0,KARO,Danau Lau Kawar,"parkir
 toilet
 tempat ibadah
 pos keamanan","resto/ cafetaria
 pos kesehatan
 toilet
 penginapan
 guide","Desa Kutagugung, Kecamatan Naman Teran","senin-minggu
 08.00 - 17.00",
32.0,KARO,Taman Alam Lumbini,"parkir
 toilet
 gazebo
 pusat informasi","restoran
 souvenir shop
 area bermain anak
 peralatan fitness","jalan Barusjahe, Dolat Rayat, Kecamatan Dolat Rayat. Di dalam komplek International Buddhiest Center","senin - minggu
 09.00 - 17.00",
33.0,PAKPAK BHARAT,Air Terjun Lae Pinang,,,"Dusun Lae Pinang, Desa Malum, Kec Sitellu Tali Urang Jehe","senin - minggu
 10.00 - 16.00",hidden gem
34.0,PAKPAK BHARAT,Air Terjun Lae Mbilulu,"toilet umum
 parkir
 Mushala","Warung makan
 persewaan alat camping","Desa Wisata Prongil, Kecamatan Tinada","senin - minggu
 10.00 - 16.00",
35.0,PAKPAK BHARAT,Air Terjun Lae Singgabit,,,"Dusun Kuta Delleng, Desa Mahala, Kecamatan Tinaha","senin - minggu
 10.00 - 16.00",hidden gem
